	Catalog Name	Course Name	Department
1117	DEMS 26080	The Challenge of Government Oversight	DEMS
1118	DEMS 27818	Philosophical Foundations of Public Policy	DEMS
1119	DEMS 28050	The American Constitution	DEMS
1120	DIGS 10000	Approaches to Digital Humanities Using Python	DIGS
1121	DIGS 20001	Introduction to Computer Programming with Python	DIGS
1122	DIGS 20002	Data Analysis I: Introduction to Statistics	DIGS
1123	DIGS 20003	Data Management for the Humanities	DIGS
1124	DIGS 20004	Data Analysis II: Data Visualization and Machine Learning	DIGS
1125	DIGS 20005	Data Publication for the Humanities	DIGS
1126	DIGS 20006	Artificial Intelligence and the Humanities	DIGS
1127	DIGS 20007	Introduction to Digital Humanities	DIGS
1128	DIGS 20021	Digital Archaeology	DIGS
1129	DIGS 20031	Digital Texts I: Corpus Building and Corpus Statistics	DIGS
1130	DIGS 20032	Digital Texts II: Natural Language Processing and Deep Learning	DIGS
1131	DIGS 26021	Sense & Sensibility & Science @UChicago	DIGS
1132	CHIN 10100-10200-10300	Elementary Modern Chinese I-II-III	CHIN
1133	CHIN 10100	Elementary Modern Chinese I	CHIN
1134	CHIN 10200	Elementary Modern Chinese II	CHIN
1135	CHIN 10300	Elementary Modern Chinese III	CHIN
1136	CHIN 10123	Summer Intensive Introductory Chinese	CHIN
1137	CHIN 11100-11200-11300	First-Year Chinese for Bilingual Speakers I-II-III	CHIN
1138	CHIN 11100	First-Year Chinese for Heritage Students I	CHIN
1139	CHIN 11200	First-Year Chinese for Heritage Students-II	CHIN
1140	CHIN 11300	First-Year Chinese for Heritage Students-III	CHIN
1141	CHIN 11400	Heritage Chinese: Developing Foundational Skills	CHIN
1142	CHIN 15000	Chinese in Beijing	CHIN
1143	CHIN 15001	Elementary Chinese in Beijing	CHIN
1144	CHIN 15002	Elementary Chinese in Beijing	CHIN
1145	CHIN 15003	Intermediate Chinese in Beijing	CHIN
1146	CHIN 15004	Intermediate Chinese in Beijing	CHIN
1147	CHIN 15005	Advanced Chinese in Beijing	CHIN
1148	CHIN 15006	Advanced Chinese in Beijing	CHIN
1149	CHIN 15007	Elementary Chinese in Hong Kong	CHIN
1150	CHIN 15008	Elementary Chinese in Hong Kong	CHIN
1151	CHIN 15009	Intermediate Chinese in Hong Kong	CHIN
1152	CHIN 15010	Intermediate Chinese in Hong Kong	CHIN
1153	CHIN 15011	Advanced Chinese in Hong Kong	CHIN
1154	CHIN 15012	Advanced Chinese in Hong Kong	CHIN
1155	CHIN 15013	Elementary Chinese in London	CHIN
1156	CHIN 15014	Elementary Chinese in London	CHIN
1157	CHIN 15015	Intermediate Chinese in London	CHIN
1158	CHIN 15016	Intermediate Chinese in London	CHIN
1159	CHIN 15017	Advanced Chinese in London	CHIN
1160	CHIN 15018	Advanced Chinese in London	CHIN
1161	CHIN 20100-20200-20300	Intermediate Modern Chinese I-II-III	CHIN
1162	CHIN 20100	Intermediate Modern Chinese I	CHIN
1163	CHIN 20200	Intermediate Modern Chinese II	CHIN
1164	CHIN 20300	Intermediate Modern Chinese III	CHIN
1165	CHIN 20101	Intermediate Modern Chinese for CPS Students	CHIN
1166	CHIN 20123	Summer Intensive Intermediate Chinese	CHIN
1167	CHIN 20401-20402-20403	Advanced Modern Chinese I-II-III	CHIN
1168	CHIN 20401	Advanced Modern Chinese I	CHIN
1169	CHIN 20402	Advanced Modern Chinese II	CHIN
1170	CHIN 20403	Advanced Modern Chinese III	CHIN
1171	CHIN 20501-20502-20503	Fourth-Year Modern Chinese I-II-III	CHIN
1172	CHIN 20501	Fourth-Year Modern Chinese I	CHIN
1173	CHIN 20502	Fourth-Year Modern Chinese II	CHIN
1174	CHIN 20503	Fourth-Year Modern Chinese III	CHIN
1175	CHIN 20508-20509-20510	Readings in Literary Chinese I-II-III	CHIN
1176	CHIN 20508	Intermediate Literary Chinese I	CHIN
1177	CHIN 20509	Intermediate Literary Chinese II	CHIN
1178	CHIN 20510	Intermediate Literary Chinese III	CHIN
1179	CHIN 20601-20602-20603	Fifth-Year Modern Chinese I-II-III	CHIN
1180	CHIN 20601	Fifth Year Modern Chinese	CHIN
1181	CHIN 20602	Fifth-Year Modern Chinese II	CHIN
1182	CHIN 20603	Fifth-Year Modern Chinese III	CHIN
1183	CHIN 20701-20702-20703	Business Chinese I-II-III	CHIN
1184	CHIN 20701	Business Chinese I	CHIN
1185	CHIN 20702	Business Chinese II	CHIN
1186	CHIN 20703	Business Chinese III	CHIN
1187	CHIN 20800-20900-21000	Elementary Literary Chinese I-II-III	CHIN
1188	CHIN 20800	Elementary Literary Chinese I	CHIN
1189	CHIN 20900	Elementary Literary Chinese II	CHIN
1190	CHIN 21000	Elementary Literary Chinese III	CHIN
1191	CHIN 21306	Journey to the West II	CHIN
1192	CHIN 21801	Introduction Classical Chinese Poetry	CHIN
1193	CHIN 22110-22120-22130	Second-Year Chinese for Heritage Students I-II-III	CHIN
1194	CHIN 22110	Second-Year Chinese for Heritage Students I	CHIN
1195	CHIN 22120	Second-Year Chinese for Heritage Students II	CHIN
1196	CHIN 22130	Second-Year Chinese for Heritage Students III	CHIN
1197	CHIN 23110-23120-23130	Third-Year Chinese for Heritage Students I-II-III	CHIN
1198	CHIN 23110	Third-Year Chinese for Heritage Students I	CHIN
1199	CHIN 23120	Third-Year Chinese for Heritage Students II	CHIN
1200	CHIN 23130	Third-Year Chinese for Heritage Students III	CHIN
1201	JAPN 10100-10200-10300	Elementary Modern Japanese I-II-III	JAPN
1202	JAPN 10100	Elementary Modern Japanese I	JAPN
1203	JAPN 10200	Elementary Modern Japanese II	JAPN
1204	JAPN 10300	Elementary Modern Japanese-III	JAPN
1205	JAPN 10123	Summer Intensive Elementary Japanese	JAPN
1206	JAPN 20100-20200-20300	Intermediate Modern Japanese I-II-III	JAPN
1207	JAPN 20100	Intermediate Modern Japanese I	JAPN
1208	JAPN 20200	Intermediate Modern Japanese II	JAPN
1209	JAPN 20300	Intermediate Modern Japanese III	JAPN
1210	JAPN 20401-20402-20403	Advanced Modern Japanese I-II-III	JAPN
1211	JAPN 20401	Advanced Modern Japanese I	JAPN
1212	JAPN 20402	Advanced Modern Japanese II	JAPN
1213	JAPN 20403	Advanced Modern Japanese III	JAPN
1214	JAPN 20500-20600-20700	Fourth-Year Modern Japanese I-II-III	JAPN
1215	JAPN 20500	4th-Year Modern Japanese I	JAPN
1216	JAPN 20600	4th-Year Modern Japanese II	JAPN
1217	JAPN 20700	4th-Year Modern Japanese III	JAPN
1218	JAPN 20800-20900-21000	Reading Scholarly Japanese I-II; Reading Scholarly Japanese-3	JAPN
1219	JAPN 20800	Reading Scholarly Japanese I	JAPN
1220	JAPN 20900	Reading Scholarly Japanese II	JAPN
1221	JAPN 21000	Reading Scholarly Japanese-3	JAPN
1222	JAPN 21200-21300	Intermediate Modern Japanese through Japanimation I-II	JAPN
1223	JAPN 21200	Intermediate Modern Japanese Through Japanimation I	JAPN
1224	JAPN 21300	Intermediate Modern Japanese through Japanimation II	JAPN
1225	KORE 10100-10200-10300	Introduction to the Korean Language I-II-III	KORE
1226	KORE 10100	Introduction to the Korean Language I	KORE
1227	KORE 10200	Introduction to the Korean Language II	KORE
1228	KORE 10300	Introduction to the Korean Language III	KORE
1229	KORE 10123	Summer Intensive Introductory Korean	KORE
1230	KORE 10400	Heritage Korean: Developing Foundational Skills	KORE
1231	KORE 20100-20200-20300	Intermediate Korean I-II-III	KORE
1232	KORE 20100	Intermediate Korean I	KORE
1233	KORE 20200	Intermediate Korean II	KORE
1234	KORE 20300	Intermediate Korean III	KORE
1235	KORE 20401-20402-20403	Advanced Korean I-II-III	KORE
1236	KORE 20401	Advanced Korean I	KORE
1237	KORE 20402	Advanced Korean II	KORE
1238	KORE 20403	Advanced Korean III	KORE
1239	KORE 21100-21200-21300	Fourth-Year Modern Korean I-II-III	KORE
1240	KORE 21100	Fourth-Year Modern Korean I	KORE
1241	KORE 21200	Fourth-Year Modern Korean II	KORE
1242	KORE 21300	Fourth-Year Modern Korean III	KORE
1243	KORE 22110	Understanding Contemporary Korean Society Through Media	KORE
1244	KORE 22200	Contemporary Korean Society and History through Fiction and Film	KORE
1245	KORE 22300	Changing Identity of Contemporary Korean Through Film and Literature	KORE
1246	KORE 29000	Business Korean	KORE
1247	EALC 10515	Topics in EALC: Early Modern Chinese Drama	EALC
1248	EALC 10566	Topics in EALC: Korean Bordercrossings	EALC
1249	EALC 10600	Ghosts & the Fantastic in Literature and Film	EALC
1250	EALC 10655	Topics: Chinese Landscapes of Repair, Past and Present	EALC
1251	EALC 10701	Topics in EALC: Poets/Teachers/Fighters: Writing Women in China and Beyond	EALC
1252	EALC 10717	Topics in EALC: Themes in Traditional Chinese Thought	EALC
1253	EALC 10722	Topics in EALC: Queer Literature and Politics in Contemporary East Asia	EALC
1254	EALC 10733	Nature & Dao	EALC
1255	EALC 14504	The History of Everyday in Modern Korea	EALC
1256	EALC 14601	Twentieth-Century China through Great Trials	EALC
1257	EALC 14745	Recasting the Past: East Asian Classics on Modern Stages	EALC
1258	EALC 14750	Production and Reproduction: Women in Modern China, Japan, and Korea	EALC
1259	EALC 15411-15412-15413	East Asian Civilization I-II-III	EALC
1260	EALC 15411	East Asian Civilization I, Ancient Period-1600	EALC
1261	EALC 15412	East Asian Civilization II, 1600-1895	EALC
1262	EALC 15413	East Asian Civilization III, 1895-Present	EALC
1263	EALC 16100	Art of the East: China	EALC
1264	EALC 16806	Arts of Japan	EALC
1265	EALC 17212	Sonic Cultures of Japan	EALC
1266	EALC 17215	Sound and Listening in Modern Chinese Literature	EALC
1267	EALC 17400	"Navigating the ""Modern"" in Modern Japanese Literature, 1800-1945"	EALC
1268	EALC 20800	Elementary Literary Chinese I	EALC
1269	EALC 20900	Elementary Literary Chinese II	EALC
1270	EALC 21000	Elementary Literary Chinese III	EALC
1271	EALC 21415	Readings in Later Daoist Thought	EALC
1272	EALC 21702	Buddhist Thought in Japan	EALC
1273	EALC 22035	Reading Sōseki	EALC
1274	EALC 22245	Monsters and Marvels: The Abnormal in China, Japan, and Korea	EALC
1275	EALC 22401	Zen Before Zen: Chan Buddhism in China	EALC
1276	EALC 22402	Japanese Zen Buddhism	EALC
1277	EALC 22715	Antisocial Modernism: Troubled Subjects in 20th-Century East Asian Literature and Film and Beyond	EALC
1278	EALC 23001	Censorship in East Asia:  The Case of Colonial Korea	EALC
1279	EALC 23005	The Spirit of Reality TV in East Asia	EALC
1280	EALC 23044	Generations, Gender, and Genre in Korean Fiction & TV Drama	EALC
1281	EALC 23201	Confucian Philosophy and Spirituality	EALC
1282	EALC 23202	Li Zhi and 16th Century China: The Self, Tradition, and Dissent in Comparative Context	EALC
1283	EALC 23908	Bergson and China: Buddhist and Confucian Reboots	EALC
1284	EALC 24120	Chinese Thought and The Good Life	EALC
1285	EALC 24123	History of Food in Japan	EALC
1286	EALC 24124	Post-empire: Japan and East Asia	EALC
1287	EALC 24225	The History of the Book in East Asia: From Bamboo to Webtoon	EALC
1288	EALC 24256	Everyday Maoism: Revolution, Daily Life, and Material Culture in Socialist China	EALC
1289	EALC 24407	(Un)popular Fiction: Chosŏn Era Novels and Readership	EALC
1290	EALC 24408	Post-1945 South Korean Politics and Society	EALC
1291	EALC 24455	New Histories of Chinese Labor	EALC
1292	EALC 24501	Women and Work in Modern East Asia	EALC
1293	EALC 24518	Taiwan in Asia and the World	EALC
1294	EALC 24609	Buddhist Meditation: Tradition, Transformation, Modernization	EALC
1295	EALC 24615	History of Energy in East Asia	EALC
1296	EALC 24626	Japanese Cultures of the Cold War: Literature, Film, Music	EALC
1297	EALC 24813	East Asian Science and Technology: Ways of Making	EALC
1298	EALC 25620	Japanese Animation: The Making of a Global Media	EALC
1299	EALC 25811	Foundations of East Asian Buddhism	EALC
1300	EALC 25812	East Asian Science and Technology: Ways of Knowing	EALC
1301	EALC 25840	Philosophical Approaches to Peace of Mind: The Zhuangzi in Dialogue	EALC
1302	EALC 26201	Medicine and Culture in Modern East Asia	EALC
1303	EALC 26705	Approaches to Contemporary Chinese Art	EALC
1304	EALC 27910	Virtual Ethnography: Encounters in Mediation	EALC
1305	EALC 28010	Archaeology of Anyang:  Bronzes, Inscriptions, and World Heritage	EALC
1306	EALC 28405	Religion in Anime and Japanese Pop Culture	EALC
1307	EALC 28901	Discovering Ancient East Asia: Archaeology of China, Korea, and Japan	EALC
1308	EALC 28989	Junior Tutorial in East Asian Studies	EALC
1309	EALC 29200	Reading and Research EALC	EALC
1310	EALC 29500-29600-29700	Senior Thesis Tutorial I-II-III	EALC
1311	EALC 29500	Senior Thesis Tutorial I	EALC
1312	EALC 29600	Senior Thesis Tutorial II	EALC
1313	EALC 29700	Senior Thesis Tutorial III	EALC
1314	EALC 29980	Books in Japan from the earliest times to the 1890s	EALC
1315	ECON 10000	Principles of Microeconomics	ECON
1316	ECON 10200	Principles of Macroeconomics	ECON
1317	ECON 10700	Introductory Game Theory	ECON
1318	ECON 11010	Introduction to Statistical Methods in Economics	ECON
1319	ECON 11020	Introduction to Econometrics	ECON
1320	ECON 11310	Big Data and Better Decisions	ECON
1321	ECON 11600	Experimental Design	ECON
1322	ECON 11700	Introduction to Behavioral and Experimental Economics	ECON
1323	ECON 12300	Character and Commerce: Practical Wisdom in Economic Life	ECON
1324	ECON 12410	Pathways in Economics	ECON
1325	ECON 12411	Pathways in Economics C	ECON
1326	ECON 12412	A Survey of Chicago Economics	ECON
1327	ECON 12413	A Survey of Chicago Economics and its Business Applications	ECON
1328	ECON 13000	Introduction to Money and Banking	ECON
1329	ECON 13110	Household Finance: Theory and Applications	ECON
1330	ECON 13200	Introduction to Macroeconomic Crises	ECON
1331	ECON 13300	Introduction to the Macroeconomics of Monetary and Fiscal Policy	ECON
1332	ECON 13310	Introduction to Macroeconomic Analysis: A Data Driven Approach	ECON
1333	ECON 14000	Introduction to Labor Economics	ECON
1334	ECON 14020	Labor Markets: A Global Perspective	ECON
1335	ECON 14520	Economics of Gender in International Contexts	ECON
1336	ECON 14810	Evolution and Economics of Human Behavior	ECON
1337	ECON 15010	Investments: From Economics to Finance	ECON
1338	ECON 15020	Trading: From Game Theory to Finance	ECON
1339	ECON 15500	Introduction to Development Economics	ECON
1340	ECON 16020	Introduction to Public Sector Economics	ECON
1341	ECON 16520	Economics and Environmental Policy	ECON
1342	ECON 16700	Introduction to Economics of Education	ECON
1343	ECON 16710	Education and Economic Development	ECON
1344	ECON 16950	Conflict: Root Causes, Consequences and Solutions for the Future	ECON
1345	ECON 17100	Introduction to International Trade	ECON
1346	ECON 17110	International Monetary Systems	ECON
1347	ECON 17700	Introduction to Health Economics	ECON
1348	ECON 17710	Health Care Markets and Regulation	ECON
1349	ECON 18010	Introduction to Managerial Microeconomics	ECON
1350	ECON 18020	Introduction to Applied Empirical Industrial Organization	ECON
1351	ECON 19000	Economics for Everyone: Micro	ECON
1352	ECON 19100	Economics for Everyone: Macro	ECON
1353	ECON 19200	Introduction to Issues and Methods in Microeconomics	ECON
1354	ECON 19300	Introduction to Issues and Methods in Macroeconomics	ECON
1355	ECON 20000-20100-20200-20300	The Elements of Economic Analysis I-II-III-IV	ECON
1356	ECON 20000	The Elements of Economic Analysis I	ECON
1357	ECON 20100	The Elements of Economic Analysis II	ECON
1358	ECON 20200	The Elements of Economic Analysis III	ECON
1359	ECON 20300	Elements of Economic Analysis IV	ECON
1360	ECON 20010-20110-20210	The Elements of Economic Analysis: Honors I-II-III	ECON
1361	ECON 20010	The Elements of Economic Analysis I Honors	ECON
1362	ECON 20110	The Elements of Economic Analysis II Honors	ECON
1363	ECON 20210	The Elements of Economic Analysis III Honors	ECON
1364	ECON 20520	Formal Models of Political Economics	ECON
1365	ECON 20700	Game Theory and Economic Applications	ECON
1366	ECON 20770	Decision and Strategy	ECON
1367	ECON 20780	Decision and Strategy II	ECON
1368	ECON 21020	Econometrics	ECON
1369	ECON 21030	Econometrics - Honors	ECON
1370	ECON 21031	Econometrics II-Honors	ECON
1371	ECON 21110	Applied Microeconometrics	ECON
1372	ECON 21200	Time Series Econometrics	ECON
1373	ECON 21300	Data Construction and Interpretation in Economic Applications	ECON
1374	ECON 21410	Computational Methods in Economics	ECON
1375	ECON 21730	Applied Behavioral Economics	ECON
1376	ECON 21740	Behavioral Economics and Experiments	ECON
1377	ECON 21800	Experimental Economics	ECON
1378	ECON 21830	Social Neuroscience	ECON
1379	ECON 22030	The Chinese Economy	ECON
1380	ECON 22410	UChicago Economics: The People and the Seminal Ideas	ECON
1381	ECON 23000	Money and Banking	ECON
1382	ECON 23200	Topics in Macroeconomics	ECON
1383	ECON 23410	Economic Growth	ECON
1384	ECON 23950	Economic Policy Analysis	ECON
1385	ECON 24000	Labor Economics	ECON
1386	ECON 24450	Inequality and the Social Safety Net: Theory, Empirics, and Policies	ECON
1387	ECON 25000	Introduction To Finance	ECON
1388	ECON 25100	Financial Economics; Speculative Markets	ECON
1389	ECON 25120	Options and Volatility Products	ECON
1390	ECON 25520	Development Economics and Data Analysis	ECON
1391	ECON 25530	Behavioral Development Economics (Undergraduate)  100 Units	ECON
1392	ECON 26010	Public Finance	ECON
1393	ECON 26030	The Economics of Socialism	ECON
1394	ECON 26040	Human Capital and the Economy	ECON
1395	ECON 26610	The Economics of Cities and Regions	ECON
1396	ECON 26920	Behavioral Economics and Policy	ECON
1397	ECON 27000	International Economics	ECON
1398	ECON 27700	Health Economics and Public Policy	ECON
1399	ECON 28000	Industrial Organization	ECON
1400	ECON 28010	Applied Empirical Industrial Organization	ECON
1401	ECON 28030	Markets and Regulation	ECON
1402	ECON 28060	The Economics of Organizations: An Experimental Perspective	ECON
1403	ECON 28100	The Economics of Sports	ECON
1404	ECON 28620	Crony Capitalism	ECON
1405	ECON 28700	The Economics of Crime	ECON
1406	ECON 29200	Issues and Methods in Microeconomics	ECON
1407	ECON 29300	Issues and Methods in Macroeconomics	ECON
1408	ECON 29700	Undergraduate Reading and Research	ECON
1409	ECON 29800	Undergraduate Honors Workshop	ECON
1410	ECMA 30750	The Theory of Market Design	ECMA
1411	ECMA 30770	Decision and Strategy	ECMA
1412	ECMA 30780	Decision and Strategy II	ECMA
1413	ECMA 30800	Theory of Auctions	ECMA
1414	ECMA 31000	Introduction to Empirical Analysis	ECMA
1415	ECMA 31100	Introduction to Empirical Analysis II	ECMA
1416	ECMA 31130	Topics in Microeconometrics	ECMA
1417	ECMA 31140	Perspectives on Computational Modeling for Economics	ECMA
1418	ECMA 31210	Time Series Analysis for Macroeconomics and Finance	ECMA
1419	ECMA 31320	Applications of Econometric and Data Science Methods	ECMA
1420	ECMA 31330	Econometrics and Machine Learning	ECMA
1421	ECMA 31340	Big Data Tools in Economics	ECMA
1422	ECMA 31350	Machine Learning for Economists	ECMA
1423	ECMA 31360	Causal Inference	ECMA
1424	ECMA 33220	Introduction to Advanced Macroeconomic Analysis	ECMA
1425	ECMA 33221	Introduction to Advanced Macroeconomic Analysis II	ECMA
1426	ECMA 33230	Macroeconomic Crises	ECMA
1427	ECMA 33330	Introduction to Dynamic Economic Modeling	ECMA
1428	ECMA 33603	Introduction to Macroeconomics and Financial Frictions	ECMA
1429	ECMA 33620	Introduction to Heterogeneous Agent Macroeconomics	ECMA
1430	ECMA 35550	The Practicalities of Running Randomized Control Trials	ECMA
1431	ECMA 36700	Economics of Education	ECMA
1432	ECMA 38010	Empirical Industrial Organization	ECMA
1433	BUSN 20550	Application Development	BUSN
1434	BUSN 20930	Social Sector Strategy and Structure	BUSN
1435	BUSN 20100	Financial Accounting	BUSN
1436	BUSN 20101	Managerial Accounting	BUSN
1437	BUSN 20140	Accounting and Financial Analysis	BUSN
1438	BUSN 20150	Financial Statement Analysis	BUSN
1439	BUSN 20170	Tax Strategies	BUSN
1440	BUSN 20180	Advanced Financial Analysis and Valuation for Global Firms	BUSN
1441	BUSN 20330	Building the New Venture	BUSN
1442	BUSN 20340	Developing a New Venture	BUSN
1443	BUSN 20920	Social Entrepreneurship and Innovation	BUSN
1444	BUSN 20400	Investments	BUSN
1445	BUSN 20405	Financial Instruments	BUSN
1446	BUSN 20410	Corporation Finance	BUSN
1447	BUSN 20600	Marketing Management	BUSN
1448	BUSN 20701	Managing in Organizations	BUSN
1449	BUSN 20702	Managerial Decision Making	BUSN
1450	BUSN 20710	Behavioral Economics	BUSN
1451	BUSN 20711	Choosing Leadership	BUSN
1452	BUSN 20600	Marketing Management	BUSN
1453	BUSN 20610	Pricing Strategy	BUSN
1454	BUSN 20620	Data Driven Marketing	BUSN
1455	BUSN 20500	Operations Management	BUSN
1456	BUSN 20510	Managerial Decision Modeling	BUSN
1457	BUSN 20520	Supply Chain Management	BUSN
1458	BUSN 20800	Big Data	BUSN
1459	BUSN 20810	Machine Learning	BUSN
1460	BUSN 20820	Financial Econometrics	BUSN
1461	BUSN 20200	Macroeconomics and the Business Environment	BUSN
1462	BUSN 20230	International Financial Policy	BUSN
1463	BUSN 20231	Economics in a Globalized World	BUSN
1464	BUSN 20900	Competitive Strategy	BUSN
1465	BUSN 20940	Business Ethics	BUSN
1466	ECON 10000	Principles of Microeconomics	ECON
1467	ECON 10200	Principles of Macroeconomics	ECON
1468	ECON 10700	Introductory Game Theory	ECON
1469	ECON 11010	Introduction to Statistical Methods in Economics	ECON
1470	ECON 11020	Introduction to Econometrics	ECON
1471	ECON 11310	Big Data and Better Decisions	ECON
1472	ECON 11600	Experimental Design	ECON
1473	ECON 11700	Introduction to Behavioral and Experimental Economics	ECON
1474	ECON 12300	Character and Commerce: Practical Wisdom in Economic Life	ECON
1475	ECON 12410	Pathways in Economics	ECON
1476	ECON 12411	Pathways in Economics C	ECON
1477	ECON 12412	A Survey of Chicago Economics	ECON
1478	ECON 12413	A Survey of Chicago Economics and its Business Applications	ECON
1479	ECON 13000	Introduction to Money and Banking	ECON
1480	ECON 13110	Household Finance: Theory and Applications	ECON
1481	ECON 13200	Introduction to Macroeconomic Crises	ECON
1482	ECON 13300	Introduction to the Macroeconomics of Monetary and Fiscal Policy	ECON
1483	ECON 13310	Introduction to Macroeconomic Analysis: A Data Driven Approach	ECON
1484	ECON 14000	Introduction to Labor Economics	ECON
1485	ECON 14020	Labor Markets: A Global Perspective	ECON
1486	ECON 14520	Economics of Gender in International Contexts	ECON
1487	ECON 14810	Evolution and Economics of Human Behavior	ECON
1488	ECON 15010	Investments: From Economics to Finance	ECON
1489	ECON 15020	Trading: From Game Theory to Finance	ECON
1490	ECON 15500	Introduction to Development Economics	ECON
1491	ECON 16020	Introduction to Public Sector Economics	ECON
1492	ECON 16520	Economics and Environmental Policy	ECON
1493	ECON 16700	Introduction to Economics of Education	ECON
1494	ECON 16710	Education and Economic Development	ECON
1495	ECON 16950	Conflict: Root Causes, Consequences and Solutions for the Future	ECON
1496	ECON 17100	Introduction to International Trade	ECON
1497	ECON 17110	International Monetary Systems	ECON
1498	ECON 17700	Introduction to Health Economics	ECON
1499	ECON 17710	Health Care Markets and Regulation	ECON
1500	ECON 18010	Introduction to Managerial Microeconomics	ECON
1501	ECON 18020	Introduction to Applied Empirical Industrial Organization	ECON
1502	ECON 19000	Economics for Everyone: Micro	ECON
1503	ECON 19100	Economics for Everyone: Macro	ECON
1504	ECON 19200	Introduction to Issues and Methods in Microeconomics	ECON
1505	ECON 19300	Introduction to Issues and Methods in Macroeconomics	ECON
1506	ECON 20000-20100-20200-20300	The Elements of Economic Analysis I-II-III-IV	ECON
1507	ECON 20000	The Elements of Economic Analysis I	ECON
1508	ECON 20100	The Elements of Economic Analysis II	ECON
1509	ECON 20200	The Elements of Economic Analysis III	ECON
1510	ECON 20300	Elements of Economic Analysis IV	ECON
1511	ECON 20010-20110-20210	The Elements of Economic Analysis: Honors I-II-III	ECON
1512	ECON 20010	The Elements of Economic Analysis I Honors	ECON
1513	ECON 20110	The Elements of Economic Analysis II Honors	ECON
1514	ECON 20210	The Elements of Economic Analysis III Honors	ECON
1515	ECON 20520	Formal Models of Political Economics	ECON
1516	ECON 20700	Game Theory and Economic Applications	ECON
1517	ECON 20770	Decision and Strategy	ECON
1518	ECON 20780	Decision and Strategy II	ECON
1519	ECON 21020	Econometrics	ECON
1520	ECON 21030	Econometrics - Honors	ECON
1521	ECON 21031	Econometrics II-Honors	ECON
1522	ECON 21110	Applied Microeconometrics	ECON
1523	ECON 21200	Time Series Econometrics	ECON
1524	ECON 21300	Data Construction and Interpretation in Economic Applications	ECON
1525	ECON 21410	Computational Methods in Economics	ECON
1526	ECON 21730	Applied Behavioral Economics	ECON
1527	ECON 21740	Behavioral Economics and Experiments	ECON
1528	ECON 21800	Experimental Economics	ECON
1529	ECON 21830	Social Neuroscience	ECON
1530	ECON 22030	The Chinese Economy	ECON
1531	ECON 22410	UChicago Economics: The People and the Seminal Ideas	ECON
1532	ECON 23000	Money and Banking	ECON
1533	ECON 23200	Topics in Macroeconomics	ECON
1534	ECON 23410	Economic Growth	ECON
1535	ECON 23950	Economic Policy Analysis	ECON
1536	ECON 24000	Labor Economics	ECON
1537	ECON 24450	Inequality and the Social Safety Net: Theory, Empirics, and Policies	ECON
1538	ECON 25000	Introduction To Finance	ECON
1539	ECON 25100	Financial Economics; Speculative Markets	ECON
1540	ECON 25120	Options and Volatility Products	ECON
1541	ECON 25520	Development Economics and Data Analysis	ECON
1542	ECON 25530	Behavioral Development Economics (Undergraduate)  100 Units	ECON
1543	ECON 26010	Public Finance	ECON
1544	ECON 26030	The Economics of Socialism	ECON
1545	ECON 26040	Human Capital and the Economy	ECON
1546	ECON 26610	The Economics of Cities and Regions	ECON
1547	ECON 26920	Behavioral Economics and Policy	ECON
1548	ECON 27000	International Economics	ECON
1549	ECON 27700	Health Economics and Public Policy	ECON
1550	ECON 28000	Industrial Organization	ECON
1551	ECON 28010	Applied Empirical Industrial Organization	ECON
1552	ECON 28030	Markets and Regulation	ECON
1553	ECON 28060	The Economics of Organizations: An Experimental Perspective	ECON
1554	ECON 28100	The Economics of Sports	ECON
1555	ECON 28620	Crony Capitalism	ECON
1556	ECON 28700	The Economics of Crime	ECON
1557	ECON 29200	Issues and Methods in Microeconomics	ECON
1558	ECON 29300	Issues and Methods in Macroeconomics	ECON
1559	ECON 29700	Undergraduate Reading and Research	ECON
1560	ECON 29800	Undergraduate Honors Workshop	ECON
1561	ENGL 10404	Genre Fundamentals: Poetry	ENGL
1562	ENGL 10405	Fantastical London: Literature, Film, Psychogeography	ENGL
1563	ENGL 10620	Literature, Medicine, and Embodiment	ENGL
1564	ENGL 10664	Poetry and Cinema	ENGL
1565	ENGL 10709	Genre Fundamentals: Fiction	ENGL
1566	ENGL 10800	Introduction to Film Analysis	ENGL
1567	ENGL 11200	Fundamentals of Literary Criticism	ENGL
1568	ENGL 12125	Living Queer: Experiences, Encounter, Affinities	ENGL
1569	ENGL 12320	Critical Videogame Studies	ENGL
1570	ENGL 12460	Medieval Experimental Style	ENGL
1571	ENGL 12522	Chaucer's Dream Poems	ENGL
1572	ENGL 12704	Writing Persuasion: Health and Environment	ENGL
1573	ENGL 12722	The Poetry and Prose of John Donne	ENGL
1574	ENGL 13000	Academic and Professional Writing (The Little Red Schoolhouse)  100 Units	ENGL
1575	ENGL 13512	The Future	ENGL
1576	ENGL 13520	Introduction to African American Literature 1892-1974	ENGL
1577	ENGL 13570	Conspiracy, Theorized	ENGL
1578	ENGL 13580	Introduction to Asian American Literatures	ENGL
1579	ENGL 13582	Crime/Fiction	ENGL
1580	ENGL 13590	Race and Time	ENGL
1581	ENGL 15002	Disability Now and Then: Bodies, Minds, Media	ENGL
1582	ENGL 15004	War, Culture, and Imperialism: Russia and the West from the 19th Century to the Present	ENGL
1583	ENGL 16500	Shakespeare I: Histories and Comedies	ENGL
1584	ENGL 16600	Shakespeare II: Tragedies and Romances	ENGL
1585	ENGL 17504	John Milton's Paradise Lost	ENGL
